corp_code,corp_name,stock_code,rcept_2020,rcept_2021,rcept_2022,rcept_2023,rcept_2024
00232317,지오엠씨,033030,20210331001235,20220331002277,20230330001118,20240329002481,20250325000520
01170962,GRT,900290,20201028000497,20211028000456,20221028000263,20231030000107,20241018000064
01139266,로스웰,900260,20210430000726,20220429001206,20230427000703,20240426000544,20250428000488
00133317,에스티씨라이프,026220,20210331001090,20220331001712,20230331001178,20240329001512,20250331000597
00307037,더스텔라,065310,20210331002861,20220331001052,20230331001191,20240401001400,20250328001899
01107665,크리스탈신소재,900250,20210430001165,20220429001230,20230418000101,20240422000050,20250418000560
00261735,위노바,039790,20210305000097,20220330000538,20230330000692,20240328000298,20250418000250
00173944,우진,105840,20210311000698,20220310000376,20230316000799,20240315000580,20250313001154
00111874,대원산업,005710,20210318001203,20220317000892,20230323001275,20240314001565,20250320000948
00146719,일화모직공업,001590,20210223001533,20220307000111,20230221000453,20240220000308,20250224002212
00129350,삼화콘덴서공업,001820,20210318000813,20220317000863,20230316001232,20240314001464,20250313000953
00303217,우진플라임,049800,20210323000054,20220322000393,20230322000913,20240320001845,20250321000814
00389387,라임,065160,20210330001604,20220331002666,20230331002968,20240325000761,20250321000708
00125938,삼보판지,023600,20210319000181,20220321000274,20230321000262,20240321000362,20250320000229
01036446,서연이화,200880,20210318000992,20220317001027,20230321001225,20240320001647,20250318001291
00112970,대한방직,001070,20210318001056,20220317000704,20230316001199,20240314001520,20250313001407
00129554,갤럭시아에스엠,011420,20210318001168,20220323000287,20230322000815,20240321000774,20250320001142
00110307,대선조선,031990,20210329000187,20220310000065,20230327000179,20240328001166,20250327000929
01068348,러셀,217500,20210323000708,20220321000528,20230323001065,20240321001061,20250321001639
01236286,컬러레이,900310,20210429000233,20220502000713,20230428001266,20240419000726,20250423000002
00186939,특수건설,026150,20210323001102,20220323001251,20230324000025,20240320001779,20250320001535
01169434,오가닉티코스메틱,900300,20210531002373,20220530000162,20230428001059,20240429000929,20250430001271
