corp_code,corp_name,stock_code,is_listed,rcept_2020,rcept_2021,rcept_2022,rcept_2023,rcept_2024
00100656,강원일보,,False,20210331000666,20220330001532,20230331001925,20240329002878,20250331002621
00100814,포스코이앤씨,,False,20210305000704,20220311001168,20230310001013,20240329000806,20250320001007
00100939,강남제비스코,000860,True,20210317000299,20220321000879,20230320000691,20240320001810,20250318001036
00101044,에이프로젠바이오로직스,003060,True,20210318000458,20220314001107,20230317000440,20240314000182,20250314001189
00101257,경남기업,000800,True,20210330001375,20220325001335,20230331002296,20240329001867,20250331004254
00101433,경농,002100,True,20210322000474,20220322000678,20230322000774,20240320000825,20250317000859
00101488,경동나비엔,009450,True,20210419000238,20220321001363,20230321001339,20240319000499,20250318000908
00101549,경동제약,011040,True,20210319001046,20220321001400,20230322000830,20240321001832,20250320001428
00101664,경보제약,214390,True,20210318000256,20220316000564,20230313000946,20240318000672,20250318001404
00102113,경인양행,012610,True,20210331000615,20220330000263,20230316000324,20240314001432,20250320000738
00102140,경인전자,009140,True,20210318000118,20220317000142,20230315000359,20240313000049,20250312000686
00102353,경창산업,024910,True,20210322000584,20220322000398,20230322000602,20240319000364,20250319000380
00102399,경향신문사,,False,20210330001669,20220331001631,20230331002466,20240401000310,20250331002900
00102751,고려산업,002140,True,20210318000784,20220317000641,20230316000629,20240318000158,20250312000333
00102760,두산건설,011160,True,20210323000650,20220331003129,20230331003606,20240329003168,20250331002240
00102858,고려아연,010130,True,20210316000528,20220315001010,20230309000731,20240328001400,20250331003521
00103006,고려제강,002240,True,20210318001381,20220317001248,20230316001326,20240321001689,20250515002790
00103042,케이씨티시,009070,True,20210330001143,20220317000546,20230316001262,20240322000946,20250313001313
00103130,플레이그램,009810,True,20210319001422,20220321000756,20230321001524,20240320001345,20250320001095
00103176,흥국화재,000540,True,20210318001280,20220317001158,20230316001454,20240430000965,20250320001444
00103510,인지컨트롤스,023800,True,20210319001374,20220321001159,20230324001000,20240320001757,20250328001677
00103547,우진비앤지,018620,True,20210322000811,20220322000346,20230321000552,20240320000703,20250327001067
00103592,광동제약,009290,True,20210405002921,20220317000780,20230321001353,20240322001015,20250325000803
00103626,한솔피엔에스,010420,True,20210316000776,20220315000956,20230314001231,20240312000826,20250311001303
00103635,광림,014200,True,20210325000968,20220323001213,20230323000004,20240319000827,20250318000849
00103644,비츠로테크,042370,True,20210319000543,20220323000966,20230323001565,20240320001991,20250321001569
00104069,케이디비생명보험,,False,20210331002558,20220331001095,20230424000477,20240426000416,20250331002302
00104120,광진실업,026910,True,20210312000322,20220311000777,20230317000929,20240315000752,20250314000648
00104388,국도화학,007690,True,20210312000286,20220310001195,20230302000553,20240307000864,20250321001221
00104537,국영지앤엠,006050,True,20210401001088,20220324000500,20230320000696,20240318000585,20250317000903
00104698,LS네트웍스,000680,True,20210322000733,20220519000247,20230316000757,20240321001321,20250325000971
00104722,국제약품,002720,True,20210317000306,20220317000400,20230316000069,20240321001179,20250320000780
00104856,삼성증권,016360,True,20210311001118,20220310000784,20230309000572,20240313001446,20250306000628
00105040,뉴인텍,012340,True,20210316000399,20220316000218,20230317000521,20240318000416,20250318001416
00105156,극동유화,014530,True,20210323000729,20220323000781,20230323000821,20240321000846,20250320001025
00105165,극동전선,006250,True,20210331003287,20220331002627,20230330001645,20240327001071,20250331002462
00105174,에이치디현대오일뱅크,,False,20210331001876,20220331002804,20230331003117,20240329000013,20250328000054
00105271,케이씨씨,002380,True,20210318000812,20220317001213,20230316000762,20240327001177,20250313001099
00105299,금강공업,014280,True,20210318001269,20220317000899,20230316000643,20240314000999,20250319000431
00105466,KCC건설,021320,True,20210318000903,20220317000816,20230316001249,20240321001523,20250320001281
00105606,금호에이치티,214330,True,20210331003148,20220516002226,20230331003463,20240329002838,20250317000938
00105855,엘에스일렉트릭,010120,True,20210319001364,20220318000964,20230320000799,20240326000494,20250317000918
00105873,LG디스플레이,034220,True,20210315000829,20220315000742,20230313000751,20240314000487,20250312000906
00105961,LG이노텍,011070,True,20210310001053,20220222003015,20230222002549,20240313000953,20250318001384
00106368,금호석유화학,011780,True,20210330001578,20220328000826,20230316001213,20240328001337,20250317000810
00106614,기신정기,092440,True,20200626000321,20210610000278,20220609000497,20230608000512,20240613000239
