corp_code,rcept_2020,rcept_2021,rcept_2022,rcept_2023,rcept_2024,corp_name,rcept_2025
00100601,20210402002033,20220325001327,20230714000080,20240321000872,20250814004064,강원에너지,20260320000921
00100656,20210331000666,20220330001532,20230331001925,20240329002878,20250331002621,강원일보,
00100814,20210305000704,20220311001168,20230310001013,20240329000806,20250320001007,포스코이앤씨,20260318001089
00100939,20210317000299,20220321000879,20230320000691,20240320001810,20250318001036,강남제비스코,20260318001400
00101044,20210318000458,20220314001107,20230317000440,20240314000182,20250314001189,에이프로젠바이오로직스,20260320000881
00101220,20210319001296,20220321001518,20230321001469,20240321001911,20250814004193,KG케미칼,20260323001613
00101257,20210330001375,20220325001335,20230331002296,20240329001867,20250331004254,경남기업,
00101433,20210322000474,20220322000678,20230322000774,20240320000825,20250317000859,경농,20260318001176
00101488,20210419000238,20220321001363,20230321001339,20240319000499,20250318000908,경동나비엔,20260318001570
00101549,20210319001046,20220321001400,20230322000830,20240321001832,20250320001428,경동제약,20260320001252
00101628,20210316000402,20220805000069,20230317000682,20240320000197,20250320001362,경방,20260318000486
00101664,20210318000256,20220316000564,20230313000946,20240318000672,20250318001404,경보제약,20260318001475
00101752,20210315000332,20220316000688,20230313000698,20240311000921,20251001000321,케이씨피드,20260310003012
00102113,20210331000615,20220330000263,20230316000324,20240314001432,20250320000738,경인양행,20260319000395
00102140,20210318000118,20220317000142,20230315000359,20240313000049,20250312000686,경인전자,20260312001118
00102353,20210322000584,20220322000398,20230322000602,20240319000364,20250319000380,경창산업,20260323000235
00102399,20210330001669,20220331001631,20230331002466,20240401000310,20250331002900,경향신문사,
00102432,20211025000143,20220318000802,20230320000720,20240319000660,20250814001751,계룡건설산업,20260318001298
00102618,20220420000327,20220407002814,20230323000476,20240322000644,20250314001765,계양전기,20260319001220
00102751,20210318000784,20220317000641,20230316000629,20240318000158,20250312000333,고려산업,20260311003408
00102760,20210323000650,20220331003129,20230331003606,20240329003168,20250331002240,두산건설,
00102858,20210316000528,20220315001010,20230309000731,20240328001400,20250331003521,고려아연,20260316000929
