corp_code,corp_name,stock_code,is_listed,n_years,rcept_2020,rcept_2021,rcept_2022,rcept_2023,rcept_2024
00100601,강원에너지,114190,True,3,20210402002033,20220325001327,,20240321000872,
00100656,강원일보,,False,5,20210331000666,20220330001532,20230331001925,20240329002878,20250331002621
00100814,포스코이앤씨,,False,5,20210305000704,20220311001168,20230310001013,20240329000806,20250320001007
00100939,강남제비스코,000860,True,5,20210317000299,20220321000879,20230320000691,20240320001810,20250318001036
00101044,에이프로젠바이오로직스,003060,True,5,20210318000458,20220314001107,20230317000440,20240314000182,20250314001189
00101220,KG케미칼,001390,True,4,20210319001296,20220321001518,20230321001469,20240321001911,
00101257,경남기업,000800,True,5,20210330001375,20220325001335,20230331002296,20240329001867,20250331004254
00101433,경농,002100,True,5,20210322000474,20220322000678,20230322000774,20240320000825,20250317000859
00101488,경동나비엔,009450,True,5,20210419000238,20220321001363,20230321001339,20240319000499,20250318000908
00101549,경동제약,011040,True,5,20210319001046,20220321001400,20230322000830,20240321001832,20250320001428
00101628,경방,000050,True,4,20210316000402,,20230317000682,20240320000197,20250320001362
00101664,경보제약,214390,True,5,20210318000256,20220316000564,20230313000946,20240318000672,20250318001404
00101752,케이씨피드,025880,True,4,20210315000332,20220316000688,20230313000698,20240311000921,
00102113,경인양행,012610,True,5,20210331000615,20220330000263,20230316000324,20240314001432,20250320000738
00102140,경인전자,009140,True,5,20210318000118,20220317000142,20230315000359,20240313000049,20250312000686
00102353,경창산업,024910,True,5,20210322000584,20220322000398,20230322000602,20240319000364,20250319000380
00102399,경향신문사,,False,5,20210330001669,20220331001631,20230331002466,20240401000310,20250331002900
00102432,계룡건설산업,013580,True,3,,20220318000802,20230320000720,20240319000660,
00102618,계양전기,012200,True,4,,20220407002814,20230323000476,20240322000644,20250314001765
00102751,고려산업,002140,True,5,20210318000784,20220317000641,20230316000629,20240318000158,20250312000333
00102760,두산건설,011160,True,5,20210323000650,20220331003129,20230331003606,20240329003168,20250331002240
00102858,고려아연,010130,True,5,20210316000528,20220315001010,20230309000731,20240328001400,20250331003521
00103006,고려제강,002240,True,5,20210318001381,20220317001248,20230316001326,20240321001689,20250515002790
00103015,고려제약,014570,True,4,20210311001156,,20230309000851,20240314000705,20250313000419
00103042,케이씨티시,009070,True,5,20210330001143,20220317000546,20230316001262,20240322000946,20250313001313
