corp_code,corp_name,rcept_no,year,fs_type,status,extract_method,n_tables,input_tokens,output_tokens,DBO,PlanAsset,NetDBO,ServiceCost,InterestCost,InterestIncome,NetInterest,BenefitPayment,ActuarialGL,ActuarialGL_Financial,ActuarialGL_Demographic,ActuarialGL_Experience,RetirementBenefitCost,ExpectedContribution,DCPlanCost,SensitivityDR_1pct,SensitivitySG_1pct,DiscountRate_Min,DiscountRate_Max,DiscountRate_Mid,SalaryGrowth_Min,SalaryGrowth_Max,SalaryGrowth_Mid,Duration_Min,Duration_Max,Duration_Mid,SensitivityDR_1pct_down,SensitivitySG_1pct_down,DR_shock_raw,SG_shock_raw
00100601,강원에너지,20180402004683,2017,OK|연결,OK,HEADING,1,2368,359,21905195.0,15244100.0,6661095.0,,,,,,,,,,29441067.0,,,,,,,,,,,,,,,,,
00100656,강원일보,20180330002038,2017,OK|연결,부분(0/7),24,10997,726,부분(0/7),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00100814,포스코이앤씨,20180330002272,2017,OK|연결,OK,4,3196,374,OK,249111000000.0,187729000000.0,61382000000.0,32611000000.0,,,956000000.0,,,,,,34193000000.0,,2345000000.0,,,,,,,,,,,,,,,
00100939,강남제비스코,20181231000137,2017,OK|연결,OK,8,6016,421,OK,23399000000.0,25631000000.0,-2232000000.0,3669000000.0,792000000.0,814000000.0,-22000000.0,2848000000.0,-1086000000.0,1225000000.0,0.0,-139000000.0,4439000000.0,6562000000.0,,-1638070000.0,2152770000.0,,,4.11,,,4.93,,,10.92,1638070000.0,-1890300000.0,1.0,1.0
00101044,에이프로젠바이오로직스,20180911000364,2017,OK|연결,OK,8,5926,421,OK,5973217000.0,2525497000.0,3447720000.0,1000944000.0,100458000.0,59250000.0,41208000.0,192369000.0,343691000.0,-70998000.0,162363000.0,252326000.0,1042152000.0,,,-352840000.0,390233000.0,2.76,2.78,2.77,5.0,5.82,5.41,,,,404770000.0,-347852000.0,1.0,1.0
00101220,KG케미칼,20180402004883,2017,OK|연결,OK,10,6563,427,OK,33329615000.0,22369915000.0,10959700000.0,6100343000.0,562014000.0,454295000.0,107719000.0,6428735000.0,-1872232000.0,,,,6208062000.0,,,-1751729000.0,1974716000.0,2.72,3.85,3.285,2.0,4.0,3.0,5.0,10.24,7.62,1985889000.0,-1769627000.0,1.0,1.0
00101257,경남기업,20180402005329,2017,OK|연결,OK,25,8323,413,OK,14340899000.0,3209370000.0,11131529000.0,1941611000.0,257568000.0,59129000.0,198439000.0,3266610000.0,231422000.0,-932085000.0,281665000.0,881842000.0,2140050000.0,,,-614962000.0,675095000.0,,,3.24,,,3.3,,,9.8,671047000.0,-629901000.0,1.0,1.0
00101433,경농,20180330003022,2017,OK|연결,부분(0/7),2,3468,771,부분(0/7),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00101488,경동나비엔,20180330001650,2017,OK|연결,OK,18,6469,416,OK,33890577000.0,34140025000.0,-249448000.0,4757625000.0,1076513000.0,1042951000.0,33562000.0,2908842000.0,-391624000.0,887503000.0,,-1279127000.0,4791187000.0,,80471000.0,-2444506000.0,2846500000.0,,,4.03,,,4.06,,,,2818349000.0,-2511025000.0,1.0,1.0
00101549,경동제약,20180608000202,2017,OK|연결,OK,9,6054,420,OK,16495314000.0,17035176000.0,-539862000.0,2519587000.0,492051000.0,538869000.0,-46818000.0,1525097000.0,-543844000.0,-505748000.0,-38096000.0,,2472769000.0,3840000000.0,630846000.0,-1568206000.0,1861468000.0,,,3.57,,,2.0,,,11.49,1849630000.0,-1605408000.0,1.0,1.0
00101628,경방,20180330002127,2017,OK|연결,OK,14,5564,387,OK,714881000.0,599582000.0,115299000.0,316780000.0,12438000.0,7573000.0,4865000.0,515807000.0,33643000.0,,,,321645000.0,,1406030000.0,,,,,2.51,,,1.0,,,,,,,
00101664,경보제약,20180403002212,2017,OK|연결,OK,13,18066,397,OK,8525347000.0,6295757000.0,2229590000.0,1781137000.0,195569000.0,305239000.0,-109670000.0,428386000.0,-40509000.0,-413867000.0,0.0,373358000.0,809420000.0,,890177000.0,,,,,3.15,,,5.28,,,,,,,
00101752,케이씨피드,20180402004103,2017,OK|연결,OK,12,5156,388,OK,3462915000.0,3498328000.0,-35413000.0,715886000.0,,,-78481000.0,,-439877000.0,,,,637405000.0,,,-173200000.0,200400000.0,,,4.05,,,4.47,,,,200400000.0,-176690000.0,1.0,1.0
00102113,경인양행,20180330000601,2017,OK|연결,OK,10,7047,407,OK,9586118000.0,8220448000.0,1365670000.0,651356000.0,340837000.0,274617000.0,66220000.0,53055000.0,84851000.0,-1428000.0,-20040000.0,106319000.0,717576000.0,,,-682504000.0,794645000.0,,,4.01,,,4.55,,,,789814000.0,-698576000.0,1.0,1.0
00102140,경인전자,20180329000695,2017,OK|연결,OK,19,7684,397,OK,2189802000.0,2907861000.0,-718059000.0,103289000.0,6089000.0,83989000.0,-77900000.0,23335000.0,71014000.0,,,,35271000.0,,,-16701000.0,18411000.0,,,3.18,,,5.0,,,,18916000.0,-16599000.0,1.0,1.0
00102353,경창산업,20180402001735,2017,OK|연결,OK,8,16146,392,OK,64666513000.0,9241772000.0,55424741000.0,8797533000.0,1640384000.0,216093000.0,1424291000.0,4526108000.0,2248408000.0,,,,10221824000.0,,,,,,,3.16,,,4.19,,,,,,,
00102399,경향신문사,20180402004456,2017,OK|별도,부분(0/7),1,2274,351,부분(1/7),,,,,,,,1129203730.0,,,,,,,,,,,,,,,,,,,,,,
00102432,계룡건설산업,20180402002484,2017,OK|연결,OK,9,6924,438,OK,84035652000.0,35852421000.0,48183231000.0,9816226000.0,1652898000.0,771336000.0,881562000.0,8768008000.0,4199358000.0,3947868000.0,1428446000.0,6718780000.0,12192450000.0,5000000000.0,108005000.0,-6153645000.0,7064487000.0,2.37,2.62,2.495,1.0,3.96,2.48,,,,7099214000.0,-6240712000.0,1.0,1.0
00102618,계양전기,20220420000281,2017,OK|연결,부분(3/7),9,3923,368,부분(7/7),,,,158432000.0,31796000.0,,31796000.0,148750000.0,4911000.0,,,,185317000.0,,,,,,,2.75,,,,,,,,,,
00102751,고려산업,20180330002325,2017,OK|연결,OK,5,5614,385,OK,5190349000.0,4846770000.0,343579000.0,695278000.0,96197000.0,105730000.0,-9533000.0,413752000.0,54123000.0,-101313000.0,,155436000.0,685745000.0,,,,,,,,,,,,,,,,,
00102760,두산건설,20180329001122,2017,OK|연결,OK,12,20193,430,OK,66138056000.0,42364585000.0,23773471000.0,6579742000.0,1581160000.0,842713000.0,738447000.0,5275013000.0,-727009000.0,-1897562000.0,-715781000.0,1886334000.0,7318189000.0,14010000000.0,,-2133565000.0,2288385000.0,,,2.7,2.4,3.0,2.7,,,3.46,2315689000.0,-2150416000.0,1.0,1.0
