corp_code,corp_name,rcept_no,year,fs_type,status,extract_method,n_tables,input_tokens,output_tokens,DBO,PlanAsset,NetDBO,ServiceCost,InterestCost,InterestIncome,NetInterest,BenefitPayment,ActuarialGL,ActuarialGL_Financial,ActuarialGL_Demographic,ActuarialGL_Experience,RetirementBenefitCost,ExpectedContribution,DCPlanCost,SensitivityDR_1pct,SensitivitySG_1pct,DiscountRate_Min,DiscountRate_Max,DiscountRate_Mid,SalaryGrowth_Min,SalaryGrowth_Max,SalaryGrowth_Mid,Duration_Min,Duration_Max,Duration_Mid
00100656,강원일보,20240329002878,2023,별도,부분(1/7),HEADING,2,2147,314,,,,,,,,954563000.0,,,,,,,,,,,,,,,,,,
00100814,포스코이앤씨,20240329000806,2023,연결,부분(2/7),HEADING,5,2805,327,467855211000.0,506211518000.0,-38356307000.0,,,,,,,,,,,,6452695000.0,,,,,,,,,,,
00100939,강남제비스코,20240320001810,2023,연결,OK,HEADING,8,5734,397,56942000000.0,71331000000.0,-14389000000.0,5370000000.0,2970000000.0,4298000000.0,-1328000000.0,2621000000.0,2228000000.0,3566000000.0,-384000000.0,-954000000.0,8008000000.0,5220000000.0,621000000.0,-3838000000.0,4445000000.0,4.89,5.46,5.175,3.43,6.38,4.905,,,7.59
00101044,에이프로젠바이오로직스,20240314000182,2023,연결,OK,KEYWORD,17,20211,389,11693776000.0,3960917000.0,7732859000.0,2219739000.0,384674000.0,178715000.0,205959000.0,1492541000.0,739807000.0,630394000.0,89832000.0,19581000.0,2493919000.0,,,-615704000.0,702244000.0,3.86,4.39,4.125,4.0,5.81,4.905,7.04,10.15,8.595
00101257,경남기업,20240329001867,2023,별도,OK,HEADING,24,8152,373,20366362000.0,20097055000.0,269307000.0,1951909000.0,876552000.0,942198000.0,-65646000.0,2973178000.0,2978901000.0,1192952000.0,-29883000.0,1815832000.0,1886263000.0,,,-830970000.0,910727000.0,,,4.69,,,5.52,,,4.6
00101433,경농,20240320000825,2023,연결,부분(2/7),HEADING,2,2158,322,6291195000.0,58343000.0,6232852000.0,,,,,,,,,,,,,,,,,,,,,,,
00101488,경동나비엔,20240319000499,2023,연결,OK,HEADING,18,6550,389,67734017000.0,77504608000.0,-9770591000.0,8137436000.0,3461104000.0,4555754000.0,-1094650000.0,7851191000.0,4246196000.0,3708879000.0,0.0,1029817000.0,7042787000.0,,519000000.0,-3854861000.0,4443502000.0,4.6,6.15,5.375,2.68,4.21,3.445,,,
00101549,경동제약,20240321001832,2023,연결,OK,HEADING,9,6502,380,14345307000.0,17835857000.0,-3490550000.0,2147368000.0,1042229000.0,1443170000.0,-400941000.0,10586063000.0,1622726000.0,1098194000.0,-536000.0,1125068000.0,1746427000.0,,223684000.0,-13255866000.0,15237894000.0,,,4.91,,,3.93,,,7.213
00101664,경보제약,20240318000672,2023,별도,OK,HEADING,16,6610,373,9248304000.0,10267901000.0,-1019597000.0,1370497000.0,378780000.0,450934000.0,-72154000.0,399980000.0,472148000.0,446560000.0,50000.0,25538000.0,1259460000.0,,1793010000.0,-503282000.0,573079000.0,,,4.41,,,4.54,,,6.021
00102113,경인양행,20240314001432,2023,연결,OK,HEADING,11,6867,356,7600346000.0,10170501000.0,-2570155000.0,542318000.0,408109000.0,577211000.0,-169102000.0,420450000.0,-118693000.0,,,,373216000.0,,,-384446000.0,433774000.0,,,5.02,,,3.0,,,
