법인코드,법인명,접수번호,결산연도,처리상태,발췌테이블수,입력토큰,출력토큰,확정급여채무,사외적립자산,순확정급여부채,당기근무원가,이자비용,이자수익,순이자비용,급여지급액,보험수리적손익,퇴직급여비용합계,예상기여금,확정기여제도비용,할인율_최소,할인율_최대,할인율_중간,임금상승률_최소,임금상승률_최대,임금상승률_중간,듀레이션_최소,듀레이션_최대,듀레이션_중간
corp_code,corp_name,rcept_no,year,status,n_tables,input_tokens,output_tokens,DBO,PlanAsset,NetDBO,ServiceCost,InterestCost,InterestIncome,NetInterest,BenefitPayment,ActuarialGL,RetirementBenefitCost,ExpectedContribution,DCPlanCost,DiscountRate_Min,DiscountRate_Max,DiscountRate_Mid,SalaryGrowth_Min,SalaryGrowth_Max,SalaryGrowth_Mid,Duration_Min,Duration_Max,Duration_Mid
00100656,강원일보,20250331002621,2024,퇴직연금없음,,,,,,,,,,,,,,,,,,,,,,,,
00100814,포스코이앤씨,20250320001007,2024,OK,4,12942,279,463285327000,501818388000,38533061000,51753673000,16274302000,17450775000,-1176473000,74324969000,-1751434000,50577199312,,,,,,,,,,,
00100939,강남제비스코,20250318001036,2024,부분(4/7),6,12216,268,66870000000,72163000000,-5293000000,,,3751000000,,2703000000,,,887000000,564000000,,,,,,,,,7.43
00101044,에이프로젠바이오로직스,20250314001189,2024,OK,6,13587,277,14042701000,3796462000,10245271000,2196210000,337542000,,337542000,1266014000,943684000,,,,,,,,,,6.52,10.15,8.335
00101257,경남기업,20250331004254,2024,OK,11,9922,279,19408964000,19654739000,-245775000,2231882000,844508000,864918000,-20410000,3513437000,775455000,,,,,,4.1,,,4.82,,,4.7
00101433,경농,20250317000859,2024,OK,7,13707,304,6925205000,50446000,6874759000,735516000,248994000,2331000,246663000,640504000,288682000,982178664,,3360385000,3.6,3.76,3.68,4.11,4.58,4.345,6.6781,9.467,8.07255
00101488,경동나비엔,20250318000908,2024,OK,10,14110,281,77922367000,83573115000,-5650748000,9554294000,3419079000,3932452000,-513373000,5725323000,2301113000,12973373000,,410000000,,,,,,,,,
00101549,경동제약,20250320001428,2024,OK,8,12850,281,14872331000,16695986000,-1823655000,1700566000,652584000,832278000,-179694000,2560157000,734031000,1520872000,,124605000,,,,,,,,,4.46
00101664,경보제약,20250318001404,2024,OK,9,14509,286,11467074000,9985490000,1481584000,1534589000,346843000,398188000,-51345000,1067758000,1436147000,1452194000,,2032778000,,,4.22,,,5.25,,,
00102113,경인양행,20250320000738,2024,OK,8,12166,272,8303259000,10444500000,-2141241000,574486000,360838000,487969000,-127131000,760402000,574423000,447355000,,,,,,,,,,,
00102140,경인전자,20250312000686,2024,OK,9,10411,277,3701674000,3824280000,-122606000,219539000,20352000,172294000,-151942000,76784000,82415000,75951000,,,,,4.39,,,3.0,,,
00102353,경창산업,20250319000380,2024,부분(2/7),4,10840,255,73169738000,25036480000,48133258000,,,,,,,10026005000,,,,,,,,,,,
00102399,경향신문사,20250331002900,2024,퇴직연금없음,,,,,,,,,,,,,,,,,,,,,,,,
00102751,고려산업,20250312000333,2024,OK,5,9142,283,9798658000,8926864000,871794000,1407821000,322019000,305848000,16171000,1036553000,757629000,,1360895000,,,,,,,,4.5,6.34,5.42
00102760,두산건설,20250331002240,2024,OK,8,11916,288,72342309000,61266070000,11076239000,5908240000,2206779000,1866670000,340109000,3956404000,7743882000,6248349000,9269000000,394000000,,,,,,,,,3.54
00102858,고려아연,20250331003521,2024,OK,4,12578,279,381810344000,389913756000,-8103412000,26936078000,14010412000,15690863000,-1680451000,8057454000,28463404000,33697204000,,,,,,,,,,,
00103006,고려제강,20250515002790,2024,OK,5,12004,273,73783000000,82511000000,-8728000000,7220000000,3369000000,3940000000,-571000000,11629000000,948000000,,,,,,,,,,,,
00103042,케이씨티시,20250313001313,2024,OK,8,13987,282,38398294000,38222311000,175983000,4028396000,1135773000,2052081000,,2877352000,1631893000,,,328000000,,,,,,,4.53,7.74,6.135
00103130,플레이그램,20250320001095,2024,OK,6,10542,273,13629781000,13152827000,476954000,1914356000,414772000,443511000,-28739000,1112531000,347236000,,,199000000,,,,,,,,,
00103176,흥국화재,20250320001444,2024,OK,9,14801,278,1538000000,1183000000,355000000,435000000,43000000,45000000,-2000000,382000000,356000000,433000000,,5921000000,,,,,,,,,6.336
00103510,인지컨트롤스,20250328001677,2024,OK,16,12585,281,18783410000,19277323000,-493913000,2025867000,665227000,765140000,-99913000,1438225000,1301991000,1925954000,,690734000,,,,,,,,,7.2
00103547,우진비앤지,20250327001067,2024,OK,6,12559,275,5436262374,2141357542,3287929162,623210180,151620816,101105724,50515092,578324466,-32564009,673725272,,489369000,,,,,,,,,
00103592,광동제약,20250325000803,2024,OK,5,15348,275,25136841000,25690910000,-554069000,2222280000,973862000,1070141000,-96279000,1394970000,720159000,2126001000,,,,,,,,,,,
00103626,한솔피엔에스,20250311001303,2024,OK,8,14037,283,12063328000,12000382000,62946000,1840800000,403723000,444536000,-40813000,1739274000,926184000,1923484000,,,,,,,,,7.17,7.34,7.255
00103635,광림,20250318000849,2024,OK,8,15481,275,5607945918,6538932583,-930986665,730877247,230982321,168955008,62027313,1064339270,202505025,792904560,,,,,,,,,,,4.91
00103644,비츠로테크,20250321001569,2024,OK,7,11958,289,34643208000,16250312000,18392896000,4417608000,1265276000,613849000,651427000,2654234000,1363704000,6453216000,,122132000,,,,,,,4.78,8.01,6.395
00104069,케이디비생명보험,20250331002302,2024,부분(3/7),5,16392,262,39825000000,35044000000,4781000000,,,1783000000,,8905000000,-409000000,,,,,,,,,,,,
00104120,광진실업,20250314000648,2024,OK,11,12905,277,3310850000,3516522000,-205672000,595088000,110151000,144276000,-34125000,418955000,113958000,560963000,,,,,,,,,8.55,,8.55
00104388,국도화학,20250321001221,2024,퇴직연금없음,,,,,,,,,,,,,,,,,,,,,,,,
00104537,국영지앤엠,20250317000903,2024,퇴직연금없음,,,,,,,,,,,,,,,,,,,,,,,,
00104698,LS네트웍스,20250325000971,2024,OK,6,13202,274,16367860000,15276329000,1091531000,2046104000,803395000,803006000,389000,3622799000,929341000,2849499000,,,,,,,,,,,
00104722,국제약품,20250320000780,2024,ZIP아님,,,,,,,,,,,,,,,,,,,,,,,,
