CIK,corp_name,stock_code,report_nm,rcept_no,url
00100814,포스코이앤씨,,사업보고서 (2024.12),20250320001007,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250320001007
00100939,강남제비스코,000860,사업보고서 (2024.12),20250318001036,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250318001036
00102751,고려산업,002140,사업보고서 (2024.12),20250312000333,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250312000333
00103626,한솔피엔에스,010420,사업보고서 (2024.12),20250311001303,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250311001303
00104810,소노스퀘어,007720,사업보고서 (2024.12),20250320000877,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250320000877
00104856,삼성증권,016360,사업보고서 (2024.12),20250306000628,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250306000628
00105606,금호에이치티,214330,사업보고서 (2024.12),20250317000938,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250317000938
00107677,비비안,002070,사업보고서 (2024.12),20250321001351,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250321001351
00109019,아이엠뱅크,005270,사업보고서 (2024.12),20250318001043,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250318001043
00109286,대동,000490,사업보고서 (2024.12),20250318001356,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250318001356
00109806,삼일씨엔에스,004440,사업보고서 (2024.12),20250320001188,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250320001188
00110431,JW신약,067290,[기재정정]사업보고서 (2024.12),20250319000611,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250319000611
00111874,대원산업,005710,사업보고서 (2024.12),20250320000948,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250320000948
00112332,미래에셋생명,085620,[기재정정]사업보고서 (2024.12),20250814003144,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250814003144
00112457,대주산업,003310,사업보고서 (2024.12),20250318000629,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250318000629
00112882,교보생명보험,,[기재정정]사업보고서 (2024.12),20250515002959,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250515002959
00112970,대한방직,001070,[기재정정]사업보고서 (2024.12),20250814002484,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250814002484
00113058,한화생명,088350,[기재정정]사업보고서 (2024.12),20250331003702,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250331003702
00113191,코리안리,003690,[기재정정]사업보고서 (2024.12),20250331003380,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250331003380
00113359,교보증권,030610,사업보고서 (2024.12),20250313000901,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250313000901
00113465,하나증권,,[기재정정]사업보고서 (2024.12),20250515000733,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250515000733
00113562,롯데손해보험,000400,[기재정정]사업보고서 (2024.12),20250424000557,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250424000557
00115694,DB증권,016610,사업보고서 (2024.12),20250317000605,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250317000605
00117179,디와이,013570,사업보고서 (2024.12),20250312001047,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250312001047
00117267,동양생명,082640,[기재정정]사업보고서 (2024.12),20250331000321,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250331000321
00117601,유안타증권,003470,사업보고서 (2024.12),20250313000247,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250313000247
00117744,메리츠화재해상보험,000060,사업보고서 (2024.12),20250331003145,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250331003145
00118266,DRB동일,004840,사업보고서 (2024.12),20250313000850,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250313000850
00118451,동일제강,002690,[기재정정]사업보고서 (2024.12),20250424000289,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250424000289
00120216,KB손해보험,002550,[기재정정]사업보고서 (2024.12),20250331004034,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250331004034
00120872,만호제강,001080,[기재정정]사업보고서 (2024.06),20250805000299,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250805000299
00120988,삼성메디슨,,사업보고서 (2024.12),20250331001705,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250331001705
00121570,문배철강,008420,[첨부추가]사업보고서 (2024.12),20250313000869,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250313000869
00123523,창해에탄올,004650,[기재정정]사업보고서 (2024.12),20250814002715,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250814002715
00123541,보해양조,000890,사업보고서 (2024.12),20250318001002,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250318001002
00123781,부국철강,026940,사업보고서 (2024.12),20250320000887,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250320000887
00124106,부산은행,005280,[기재정정]사업보고서 (2024.12),20250514000045,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250514000045
00124656,비씨카드,,사업보고서 (2024.12),20250331000455,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250331000455
00124780,사조씨푸드,014710,사업보고서 (2024.12),20250311000913,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250311000913
00124805,푸른저축은행,007330,사업보고서 (2024.12),20250318000957,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250318000957
00125664,삼미금속,012210,[기재정정]사업보고서 (2024.12),20250327000681,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250327000681
00126256,삼성생명,032830,[기재정정]사업보고서 (2024.12),20250331004004,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250331004004
