CIK,dbo_eid,dbo_label,dbo_label_raw,dbo_val,net_eid,net_val,has_ifrs_dbo,ifrs_dbo_val,has_pa,pa_val,has_dim,has_cal_net,dbo_type,anomaly
00100601,dart_PostemploymentBenefitObligations,퇴직급여부채,퇴직급여부채,28089310.0,dart_PostemploymentBenefitObligations,28089310.0,False,,False,,False,False,순액추정(퇴직급여부채),
00100814,entity00100814_NonCurrentNetDefinedBenefitLiabilityOfNoncurrentLiabilities,비유동순확정급여부채,비유동 순확정급여부채,482333757.0,entity00100814_NonCurrentNetDefinedBenefitLiabilityOfCurrentAssets,1585243784632.0,False,,False,,False,False,순액(레이블),
00100939,ifrs-full_RecognisedLiabilitiesDefinedBenefitPlan,순확정급여부채,순확정급여부채,1225002387.0,ifrs-full_RecognisedLiabilitiesDefinedBenefitPlan,1225002387.0,False,,False,,False,False,순액(레이블),
00101044,ifrs-full_DefinedBenefitObligationAtPresentValue,"확정급여채무,현재가치","확정급여채무, 현재가치",14042701488.0,ifrs-full_LiabilityAssetOfDefinedBenefitPlans,14042701488.0,True,14042701488.0,True,3796462445.0,True,False,총액(DBO매핑≈IFRS_DBO),
00101220,dart_PostemploymentBenefitObligations,순확정급여부채,순확정급여부채,400310796452.0,dart_PostemploymentBenefitObligations,400310796452.0,False,,False,,False,False,순액(레이블),
00101257,dart_PostemploymentBenefitObligations,퇴직급여부채,퇴직급여부채,0.0,dart_InvestedAssetForPostemploymentBenefit,245774907.0,False,,False,,False,False,순액추정(퇴직급여부채),ZERO_VAL
00101433,dart_PostemploymentBenefitObligations,확정급여부채,확정급여부채,6874758125.0,dart_PostemploymentBenefitObligations,6874758125.0,False,,False,,False,False,판별불가,
00101488,ifrs-full_DefinedBenefitObligationAtPresentValue,"확정급여채무,현재가치","확정급여채무, 현재가치",77922367000.0,ifrs-full_NoncurrentRecognisedLiabilitiesDefinedBenefitPlan,494137000.0,True,77922367000.0,True,83573115000.0,True,False,총액(DBO매핑≈IFRS_DBO),
00101628,ifrs-full_DefinedBenefitObligationAtPresentValue,"확정급여채무,현재가치","확정급여채무, 현재가치",693549000.0,ifrs-full_LiabilityAssetOfDefinedBenefitPlans,-41493000.0,True,693549000.0,True,735042000.0,True,False,총액(DBO매핑≈IFRS_DBO),
00101664,dart_PostemploymentBenefitObligations,순확정급여부채,순확정급여부채,1481583624.0,dart_PostemploymentBenefitObligations,1481583624.0,False,,False,,False,False,순액(레이블),
00101752,dart_PostemploymentBenefitObligations,퇴직급여부채,퇴직급여부채,237105039.0,dart_PostemploymentBenefitObligations,237105039.0,False,,False,,False,False,순액추정(퇴직급여부채),
00102140,dart_PostemploymentBenefitObligations,퇴직급여부채,퇴직급여부채,0.0,dart_InvestedAssetForPostemploymentBenefit,122605660.0,False,,False,,False,True,순액(cal검증),ZERO_VAL
00102353,dart_PostemploymentBenefitObligations,퇴직급여부채,퇴직급여부채,48133258005.0,dart_PostemploymentBenefitObligations,48133258005.0,False,,False,,False,False,순액추정(퇴직급여부채),
