CIK,DBO_2022,PA_2022,DBO_2023,PA_2023,DBO_2024,PA_2024,tier,outlier_flag,growth_2022,growth_2023,growth_2024
00101044,,,11693775777.0,3960916779.0,14042701488.0,3796462445.0,,,,,
00101488,,,67734017000.0,77504608000.0,77922367000.0,83573115000.0,,,,,
00101628,,,569969000.0,658424000.0,693549000.0,735042000.0,,,,,
00102432,,,120756294000.0,67629003000.0,124276291000.0,65375308000.0,,,,,
00102858,217092377000.0,277080140000.0,315302568000.0,351900901000.0,381810344000.0,389913756000.0,2_중형,,1.0,1.452388943164043,1.7587459738395144
00103006,,,72256000000.0,83096000000.0,73783000000.0,82511000000.0,,,,,
00103042,,,34554853000.0,34392070000.0,38398294000.0,38222311000.0,,,,,
00104698,,,16211819000.0,16014218000.0,16367860000.0,15276329000.0,,,,,
00104768,,,22384987000.0,24305392000.0,33138665000.0,35977677000.0,,,,,
00105101,,,44857871000.0,54141418000.0,46080003000.0,42273734000.0,,,,,
00105280,,,300510448000.0,331360163000.0,552620816000.0,526606836000.0,,,,,
00105299,,,45773007131.0,49100415331.0,50751866782.0,53466468039.0,,,,,
00105466,64810216952.0,75641207400.0,83663181898.0,84640994675.0,79666232534.0,85216725699.0,3_중소형,,1.0,1.2908949519481312,1.2292233583017123
00105855,216325000000.0,284795000000.0,238020000000.0,290573000000.0,254174000000.0,288344000000.0,2_중형,,1.0,1.1002889171385646,1.174963596440541
00105873,1602697000000.0,2048687000000.0,1491146000000.0,1897025000000.0,1444252000000.0,1603911000000.0,1_대형,,1.0,0.9303979479589717,0.9011385183849474
00105952,699312000000.0,801911000000.0,789915000000.0,873815000000.0,834433000000.0,895081000000.0,2_중형,,1.0,1.1295601963072277,1.1932199075662937
00105961,,,703357000000.0,879398000000.0,659520000000.0,841416000000.0,,,,,
00106119,,,5033170944.0,3391555700.0,7195318904.0,3712793882.0,,,,,
00106368,238130000000.0,290543000000.0,276764000000.0,316837000000.0,328276000000.0,350329000000.0,2_중형,,1.0,1.162239113089489,1.378557930542141
00106623,,281006000000.0,226470000000.0,305016000000.0,230488000000.0,305485000000.0,,,,,
00107598,,,80258165000.0,90164112000.0,79690123000.0,84126005000.0,,,,,
00108135,,,214090000000.0,238719000000.0,251856000000.0,226473000000.0,,,,,
00108241,212422948000.0,254569660000.0,241079201000.0,252137972000.0,256013176000.0,252323446000.0,2_중형,,1.0,1.1349018703949068,1.2052048915167113
00108913,,,66738000000.0,74747000000.0,65897000000.0,74164000000.0,,,,,
00109189,,,111205526732.0,-142371471690.0,124007700636.0,-146480521346.0,,,,,
00109718,,,75732493000.0,76416784000.0,136965335000.0,96121213000.0,,,,,
00111704,415514000000.0,474841000000.0,653784000000.0,603121000000.0,839451000000.0,696310000000.0,2_중형,,1.0,1.5734343487824718,2.0202712784647447
00111810,,,23089026000.0,26331956000.0,27838281000.0,26980891000.0,,,,,
00111847,,,87615368000.0,-106483612000.0,106618017000.0,-120215363000.0,,,,,
00112651,,,14934003000.0,24418682000.0,16780678000.0,24547843000.0,,,,,
00113207,,,45553000000.0,37810000000.0,28748000000.0,29645000000.0,,,,,
00113225,,,43308959000.0,51992971000.0,49772043000.0,55558183000.0,,,,,
00113234,,,55641860000.0,58277824000.0,58657421000.0,58501600000.0,,,,,
00113243,,,65431968000.0,73284101000.0,79494428000.0,84007807000.0,,,,,
00113492,,,51771156000.0,56954362000.0,58103053000.0,59035119000.0,,,,,
00113526,1792742046000.0,330723320000.0,2185139000000.0,360737000000.0,3254665000000.0,695812000000.0,1_대형,,1.0,1.2188808785265697,1.8154675444032065
00113535,21705795000.0,-17928476000.0,26941591000.0,-22210162000.0,28997785000.0,-23577560000.0,4_소형,,1.0,1.2412165046246866,1.335946690733972
00113544,,,1968546741.0,2165288955.0,1791318156.0,1926727726.0,,,,,
00113997,,,34313386000.0,5461079000.0,44321490000.0,17886847000.0,,,,,
00114154,,,43888160668.0,50100824031.0,50781428750.0,56958980154.0,,,,,
00114792,283452000000.0,332444000000.0,109877000000.0,123740000000.0,124364000000.0,128338000000.0,2_중형,,1.0,0.38763882421009555,0.43874800671718667
00115287,,,9230936000.0,42806524000.0,10973952000.0,47405146000.0,,,,,
00115612,,,51135000000.0,-49626000000.0,50214000000.0,-46165000000.0,,,,,
00115977,64656045000.0,-59608039000.0,72312792000.0,67479763000.0,64138157000.0,59190037000.0,3_중소형,,1.0,1.1184227553664936,0.9919901070348488
00116824,,,116609917000.0,133815851000.0,133079358000.0,139769858000.0,,,,,
