변수,설명,ifrs-full,dart,entity,총_ELEMENT_ID,최대_CIK수,기대_UNIT,대표_ELEMENT_ID
DBO,확정급여채무 (총액),39,10,3254,3303,1110,KRW,dart_PostemploymentBenefitObligations
PlanAsset,사외적립자산 공정가치,28,3,1049,1080,413,KRW,ifrs-full_PlanAssetsAtFairValue
NetDBO,순확정급여부채(자산),33,13,1867,1913,1110,KRW,dart_PostemploymentBenefitObligations
DiscountRate,할인율,6,0,402,408,459,PURE,ifrs-full_ActuarialAssumptionOfDiscountRates
SalaryGrowth,임금상승률,2,0,39,41,450,PURE,ifrs-full_ActuarialAssumptionOfExpectedRatesOfSalaryIncreases
Duration,DBO 듀레이션 (가중평균만기),1,0,723,724,352,PURE,ifrs-full_WeightedAverageDurationOfDefinedBenefitObligation2019
ServiceCost,당기근무원가,2,0,70,72,447,KRW,ifrs-full_CurrentServiceCostNetDefinedBenefitLiabilityAsset
InterestCost,이자비용 (DBO 이자원가),9,0,13,22,451,KRW,ifrs-full_InterestExpenseIncomeNetDefinedBenefitLiabilityAsset
InterestIncome,이자수익 (사외적립자산),3,0,20,23,102,KRW,ifrs-full_InterestIncomeDefinedBenefitPlans
BenefitPayment,급여지급액,2,1,388,391,450,KRW,ifrs-full_PaymentsFromPlanNetDefinedBenefitLiabilityAsset
ActuarialGL,보험수리적손익 (OCI),14,2,645,661,1941,KRW,ifrs-full_OtherComprehensiveIncomeNetOfTaxGainsLossesOnRemeasurementsOfDefinedBenefitPlans
RetirementBenefitCost,퇴직급여(비용 합계),6,0,790,796,343,KRW,ifrs-full_PostemploymentBenefitExpenseDefinedContributionPlans
NetInterest,순이자(순금융원가),0,0,2,2,1,KRW,entity만
