date,grade,tenor,spot_ear
2020-01-31,AA,0.5,1.589265
2020-01-31,AA,1.0,1.603432
2020-01-31,AA,1.5,1.622722
2020-01-31,AA,2.0,1.639004
2020-01-31,AA,2.5,1.652261
2020-01-31,AA,3.0,1.69132
2020-01-31,AA,3.5,1.699941
2020-01-31,AA,4.0,1.708618
2020-01-31,AA,4.5,1.766495
2020-01-31,AA,5.0,1.824604
2020-01-31,AA,5.5,1.88139
2020-01-31,AA,6.0,1.938465
2020-01-31,AA,6.5,1.995859
2020-01-31,AA,7.0,2.053598
2020-01-31,AA,7.5,2.139387
2020-01-31,AA,8.0,2.22588
2020-01-31,AA,8.5,2.313138
2020-01-31,AA,9.0,2.401226
2020-01-31,AA,9.5,2.490209
2020-01-31,AA,10.0,2.580154
2020-01-31,AA,10.5,2.629404
2020-01-31,AA,11.0,2.679158
2020-01-31,AA,11.5,2.729433
2020-01-31,AA,12.0,2.780246
2020-01-31,AA,12.5,2.831616
2020-01-31,AA,13.0,2.883566
2020-01-31,AA,13.5,2.93612
2020-01-31,AA,14.0,2.989303
2020-01-31,AA,14.5,3.043146
2020-01-31,AA,15.0,3.097678
2020-01-31,AA,15.5,3.108322
2020-01-31,AA,16.0,3.119253
2020-01-31,AA,16.5,3.130457
2020-01-31,AA,17.0,3.141922
2020-01-31,AA,17.5,3.153639
2020-01-31,AA,18.0,3.165599
2020-01-31,AA,18.5,3.177794
2020-01-31,AA,19.0,3.190218
2020-01-31,AA,19.5,3.202868
2020-01-31,AA,20.0,3.215738
2020-01-31,AA,20.5,3.21236
2020-01-31,AA,21.0,3.209142
2020-01-31,AA,21.5,3.206075
2020-01-31,AA,22.0,3.203147
2020-01-31,AA,22.5,3.200349
2020-01-31,AA,23.0,3.197673
2020-01-31,AA,23.5,3.19511
2020-01-31,AA,24.0,3.192655
2020-01-31,AA,24.5,3.1903
2020-01-31,AA,25.0,3.188039
2020-01-31,AA,25.5,3.185867
2020-01-31,AA,26.0,3.183778
2020-01-31,AA,26.5,3.181768
2020-01-31,AA,27.0,3.179833
2020-01-31,AA,27.5,3.177968
2020-01-31,AA,28.0,3.17617
2020-01-31,AA,28.5,3.174435
2020-01-31,AA,29.0,3.17276
2020-01-31,AA,29.5,3.171142
2020-01-31,AA,30.0,3.169577
2020-02-28,AA,0.5,1.410942
2020-02-28,AA,1.0,1.434188
2020-02-28,AA,1.5,1.439232
2020-02-28,AA,2.0,1.45041
2020-02-28,AA,2.5,1.457527
2020-02-28,AA,3.0,1.487247
2020-02-28,AA,3.5,1.495384
